trade_n,Xbar_W,t_W,P_W,Xbar_R,t_R,P_R,rho,N_eff,P_min,alert
1,0.0,0.5,0.6065306597126334,-0.20074924469962022,0.20097457632587293,3.298248945405308e-06,,1.0,3.298248945405308e-06,RED
2,0.5,0.0,1.0,-0.05949422004230628,0.059719551668558996,0.10763434053875429,,2.0,0.10763434053875429,ORANGE
3,0.3333333333333333,0.16666666666666669,0.846481724890614,-0.043705997401230524,0.04393132902748324,0.16376233718149463,-0.9999999999999999,3.0,0.16376233718149463,ORANGE
4,0.25,0.25,0.6065306597126334,-0.11168969857621067,0.11191503020246338,1.5870519400132503e-07,-0.5,4.0,1.5870519400132503e-07,RED
5,0.2,0.3,0.40656965974059917,-0.12346585259695897,0.12369118422321168,4.1493559325192277e-11,-0.3333333333333333,5.0,4.1493559325192277e-11,RED
6,0.3333333333333333,0.16666666666666669,0.7165313105737893,-0.050832631512190814,0.05105796313844353,0.007536730967127177,-0.408248290463863,6.0,0.007536730967127177,RED
7,0.42857142857142855,0.07142857142857145,0.9310627797040227,-0.04162097306778129,0.04184630469403401,0.021697458151022943,0.0,7.0,0.021697458151022943,RED
8,0.5,0.0,1.0,-0.02142067018901496,0.021646001815267678,0.433139536595453,0.16666666666666663,5.714285714285715,0.433139536595453,AMBER
9,0.5555555555555556,0.0,1.0,-0.012597285226413568,0.012822616852666285,0.7613694733258504,0.2581988897471611,5.306164269161893,0.7613694733258504,GREEN
10,0.6,0.0,1.0,0.018742969502238548,0.0,1.0,0.31622776601683794,5.194938532959156,1.0,GREEN
11,0.5454545454545454,0.0,1.0,0.012921423616062968,0.0,1.0,0.1666666666666667,7.857142857142856,1.0,GREEN
12,0.5833333333333334,0.0,1.0,0.01717419926656933,0.0,1.0,0.06900655593423545,10.450750995652887,1.0,GREEN
13,0.6153846153846154,0.0,1.0,0.016936579282830336,0.0,1.0,0.11952286093343936,10.224179610161455,1.0,GREEN
14,0.5714285714285714,0.0,1.0,0.009859331431069778,0.0,1.0,0.02500000000000002,13.317073170731708,1.0,GREEN
15,0.5333333333333333,0.0,1.0,0.00819793934854412,0.0,1.0,0.12500000000000006,11.666666666666666,1.0,GREEN
16,0.5,0.0,1.0,0.004319530321267013,0.0,1.0,0.19642857142857148,10.746268656716417,1.0,GREEN
17,0.47058823529411764,0.02941176470588236,0.9825077386084017,-0.0006852720700285376,0.0009106036962812546,0.9973604177350321,0.25000000000000006,10.2,0.9825077386084017,GREEN
18,0.5,0.0,1.0,-0.00047544367353535535,0.0007007752997880725,0.9980844350039159,0.18055555555555555,12.494117647058824,0.9980844350039159,GREEN
19,0.47368421052631576,0.026315789473684237,0.9791674280854542,-0.005676513165608456,0.005901844791861173,0.8475114608015522,0.11111111111111109,15.2,0.8475114608015522,GREEN
20,0.45,0.04999999999999999,0.9295293250198647,-0.007196089907069533,0.00742142153332225,0.777590005950402,0.15555555555555553,14.615384615384617,0.777590005950402,GREEN
21,0.47619047619047616,0.023809523809523836,0.9807274346230811,-0.002958210402941369,0.0031835420291940857,0.9470888580894652,0.10050378152592122,17.164339555257342,0.9470888580894652,GREEN
